Image,whaleID,x,y
w_7812.jpg,whale_48813,280.0,190.0
w_4598.jpg,whale_09913,240.0,200.0
w_3828.jpg,whale_45062,200.0,150.0
w_8734.jpg,whale_74162,280.0,190.0
w_3251.jpg,whale_99558,280.0,130.0
w_8063.jpg,whale_59255,280.0,130.0
w_5624.jpg,whale_87291,230.0,170.0
w_825.jpg,whale_33152,260.0,140.0
w_3974.jpg,whale_88147,170.0,110.0
w_3049.jpg,whale_77693,330.0,80.0
w_6660.jpg,whale_74625,260.0,110.0
w_3909.jpg,whale_06069,310.0,170.0
w_2632.jpg,whale_62939,220.0,120.0
w_7754.jpg,whale_67036,200.0,260.0
w_1681.jpg,whale_78785,280.0,150.0
w_4130.jpg,whale_75682,330.0,150.0
w_1194.jpg,whale_08017,210.0,130.0
w_5390.jpg,whale_23574,310.0,190.0
w_8923.jpg,whale_06069,290.0,160.0
w_8790.jpg,whale_46169,200.0,260.0
w_4522.jpg,whale_11242,240.0,120.0
w_6695.jpg,whale_03227,240.0,180.0
w_1052.jpg,whale_24815,220.0,50.0
w_7212.jpg,whale_36231,300.0,120.0
w_735.jpg,whale_89615,260.0,200.0
w_3805.jpg,whale_64989,220.0,240.0
w_707.jpg,whale_52342,250.0,170.0
w_9271.jpg,whale_63948,200.0,270.0
w_7097.jpg,whale_80947,270.0,150.0
w_3779.jpg,whale_80247,160.0,220.0
w_5312.jpg,whale_11076,190.0,40.0
w_6038.jpg,whale_70138,250.0,130.0
w_5859.jpg,whale_11242,280.0,150.0
w_6731.jpg,whale_07863,280.0,200.0
w_4144.jpg,whale_36300,300.0,200.0
w_4817.jpg,whale_64634,280.0,160.0
w_2319.jpg,whale_22448,380.0,160.0
w_446.jpg,whale_68116,240.0,160.0
w_8673.jpg,whale_30331,140.0,100.0
w_5770.jpg,whale_88147,260.0,90.0
w_133.jpg,whale_64006,270.0,160.0
w_3003.jpg,whale_54796,190.0,130.0
w_5033.jpg,whale_48415,160.0,140.0
w_6015.jpg,whale_09181,280.0,180.0
